,productName,offer_Price,market_Price
102,Studio Condenser Microphone Sound Recording Audio Wired For live Radio KTV Blue tube silver mesh head  ,"KSh 3,499","KSh 3,695 "
103,TECNO Pouvoir 2 - 16GB+3GB RAM - 6.0&apos&apos HD+ - 8MP+13MP - 4GLTE - 5000mAh - Face ID - Dual SIM midnight black TECNO Pouvoir 2,"KSh 12,699","KSh 13,999 "
104,"12 Color Waterproof Outlast All-Day Moisturizing Lip Liner 12 PCS miked Last for 24 hours
Conditioning topcoat that leaves lips moisturized
Available in multiple shades, perfect for any time of day",KSh 599,"KSh 1,599 "
105,Long Wigs For Black Women Long Curly Black Wigs For Women Natural Wigs Synthetic Women Black As picture Long Synthetic Wigs For Black Women Long Curly Black Wigs For Women Natural Women Hair Wigs Synthetic Women,KSh 899,
106,KiliFun Collection 504Large Size Women&aposs New African Jeans Stretch Denim Hole Ladies Feet Pants dark blue 3xl KiliFun Collection 504Large Size Women&aposs New African Jeans Stretch Denim Hole Ladies Feet Pants,KSh 999,"KSh 1,900 "
107,2018 Vintage Leather Men Dress Shoes Business Formal Brogue Pointed Toe Carved Oxfords Wedding Shoes brown 39 leather ,"KSh 2,199","KSh 3,599 "
108,UNBREAKABLE Stainless Steel Coffee  Bottle 2.5L(11271) silver 2.5L ,KSh 859,"KSh 2,200 "
109,"2018 New Lipsticks For Women Brand Lips Color Cosmetics Waterproof Long Lasting Lipstick Makeup 16# 2018 New Lipsticks For Women Sexy Brand Lips Color Cosmetics Waterproof Long Lasting Lipstick Makeup
Water-Resistant
Non-stick",KSh 399,"KSh 2,999 "
110,GT08 Wearable Smart Watch With Hands-Free Call Phone Clock Push Message For Android Phones silver one size ,KSh 999,"KSh 2,199 "
111,"2019 Women Laser Transparent Shoulder Bag Female Messenger Chain Bag PVC Small Crossbody Handbag Blue Normal Environmentally PVC Materials , Stylish and Practical, Quality and Good Service",KSh 888,
112,"TBC Unisex fashion rubber shoe with multi-color for young Pocket friendly Blue 43 Pocket friendly fashion rubber shoe multi-color for men, each pair comes with one pair of socks for free",KSh 799,
113,Oasis 1 Pair Hot Sale Square Rhinestone Plated Rose Gold Fashion Top Selection Earring Gift Women Grey one size ,KSh 116,
114,White gold Color vintage rings For Women AAA Zircon jewelry vintage ring wedding engagement women silver 6 MDEAN White gold Color vintage rings For Women AAA Zircon jewelry vintage ring wedding engagement women rings Size 6 7 8 MSR125,KSh 398,
115,New Female Pointed Shoes Flat Shoes Pearls Single Shoes Mother Shoes Bean Shoes Nurse Shoes Flat silvery 40 New Fashions Ladies&apos Pointed Flat Bottom Casual Shoes Pearl Single Shoes Women&aposs Shallow Mouth Soles Flat Shoes PX0052,"KSh 1,299","KSh 2,000 "
116,Air Mesh Breathable Man Shoes Comfortable Soft Sneakers Men Chaussures Plateforme Vulcanize Shoes black 39 Air Mesh Breathable Man Shoes Comfortable Soft Sneakers Men Chaussures Plateforme Vulcanize Shoes,"KSh 2,390",
117,4Pcs Bedding Set (1 Duvet cover+1 Bed sheet+2 Pillow covers) Fashion Button Double Pure Color Cotton double color 5*6 ,"KSh 2,190","KSh 3,790 "
118,Shower Head Adjustable 3 Mode High Pressurized Handheld Shower Head Bathroom blue one size Shower Head Adjustable 3 Mode,KSh 499,"KSh 1,199 "
119,TAGWOOD MP-27 Cuboid Mini Wireless Bluetooth Portable Speaker Subwoofer Black 500W MP-27 Portable Bluetooth Speaker,"KSh 1,399",
120,"HWDZ2000B - Normal Water Dispenser Normal water dispenser
Two taps
Black colour body
Grey sprout
Drip tray & cover
Non electric (Normal water only)
Warranty: 12 months","KSh 3,995",
121,Multipurpose Non-stick Gas Cookware Stainless Steel Soup Pan Cooking Tool Sets silver set ,"KSh 3,399","KSh 4,399 "
122,ICECOOL BD-60 Chest Freezer white 550*446*635 white 550*446*635 ,"KSh 16,499","KSh 18,999 "
123,32PCS Professional Makeup Brushes Set Powder Brush Beauty Cosmetic Tools Kit Eyeshadow Brushes Bag burlywood ,"KSh 1,099","KSh 2,599 "
124,Fashion Women Handbags Ladies Canvas Shoulder Bags Striped Shoulderbag Ladies Chain Bag Women bags blue large Fashion Women Handbags Ladies Canvas Shoulder Bags Striped Shoulderbag Ladies Bag Women bags,"KSh 1,299","KSh 2,999 "
125,U8 Smartwatch Bluetooth Watch Passometer Touch Screen Answer and Dial the Phone Black One Size Black color is available,KSh 699,"KSh 1,899 "
126,Household electric Bean grinder coffee grinder grain grinder Grinding machine coffeemaker ,"KSh 1,699",
